v1,rcid1,rcid2
1,299,331
2,392,423
3,464,507
4,470,512
5,512,545
6,545,577
7,557,605
8,559,606
9,686,754
10,755,827
11,760,808
12,776,846
13,808,855
14,869,920
15,885,930
16,920,921
17,930,982
18,971,1011
19,972,1012
20,982,1019
21,1011,1042
22,1012,1043
23,1018,1068
24,1019,1069
25,1033,1089
26,1041,1099
27,1068,1119
28,1069,1120
29,1075,1123
30,1077,1129
31,1085,1166
32,1086,1157
33,1089,1154
34,1100,1164
35,1146,1280
36,1152,1229
37,1155,1276
38,1165,1285
39,1265,1316
40,1276,1374
41,1279,1370
42,1280,1387
43,1283,1391
44,1285,1379
45,1372,1465
46,1374,1466
47,1376,1468
48,1471,1564
49,1473,1559
50,1518,1598
51,1562,1632
52,1564,1586
53,1587,1669
54,1593,1672
55,1599,1674
56,1632,1711
57,1633,1712
58,1634,1716
59,1636,1714
60,1668,1753
61,1672,1769
62,1674,1772
63,1690,1789
64,1692,1790
65,1703,1802
66,1711,1813
67,1716,1811
68,1750,1844
69,1753,1845
70,1772,1866
71,1773,1867
72,1777,1871
73,1783,1880
74,1787,1893
75,1789,1895
76,1791,1897
77,1792,1900
78,1797,1902
79,1798,1906
80,1812,1930
81,1816,1936
82,1866,2002
83,1867,2003
84,1895,2027
85,1896,2028
86,1900,2038
87,1902,2031
88,1920,2042
89,1931,2053
90,1935,2057
91,1936,2058
92,1997,2099
93,1998,2100
94,2003,2130
95,2011,2139
96,2042,2163
97,2053,2175
98,2058,2178
99,2090,2194
100,2096,2202
101,2099,2204
102,2100,2205
103,2130,2239
104,2131,2240
105,2147,2270
106,2149,2268
107,2160,2285
108,2175,2302
109,2193,2324
110,2202,2341
111,2206,2342
112,2217,2369
113,2239,2376
114,2250,2389
115,2289,2449
116,2302,2462
117,2305,2465
118,2324,2487
119,2334,2491
120,2339,2514
121,2341,2497
122,2342,2496
123,2359,2522
124,2371,2527
125,2389,2532
126,2413,2576
127,2415,2578
128,2416,2579
129,2417,2580
130,2430,2594
131,2443,2601
132,2462,2617
133,2464,2618
134,2465,2619
135,2485,2634
136,2487,2636
137,2496,2647
138,2497,2645
139,2514,2664
140,2515,2665
141,2522,2668
142,2524,2669
143,2525,2667
144,2527,2671
145,2528,2672
146,2530,2674
147,2531,2675
148,2532,2676
149,2534,2677
150,2547,2681
151,2574,2719
152,2575,2720
153,2576,2721
154,2577,2722
155,2578,2723
156,2579,2724
157,2585,2729
158,2586,2730
159,2587,2731
160,2588,2732
161,2589,2733
162,2592,2736
163,2593,2737
164,2594,2738
165,2601,2746
166,2607,2756
167,2614,2763
168,2615,2764
169,2617,2768
170,2618,2769
171,2636,2785
172,2645,2795
173,2664,2808
174,2668,2916
175,2669,2917
176,2671,2825
177,2675,2830
178,2676,2831
179,2679,2834
180,2680,2835
181,2681,2836
182,2717,2895
183,2720,2897
184,2721,2898
185,2722,2899
186,2724,2901
187,2729,2905
188,2730,2906
189,2731,2907
190,2732,2908
191,2733,2909
192,2734,2910
193,2736,2912
194,2737,2913
195,2748,2919
196,2763,2862
197,2764,2861
198,2766,2864
199,2769,2805
200,2793,2948
201,2798,2973
202,2801,3059
203,2804,2952
204,2805,2953
205,2806,2954
206,2812,2956
207,2822,3034
208,2826,2984
209,2831,2989
210,2832,2990
211,2834,2992
212,2836,2994
213,2862,3061
214,2864,3065
215,2894,3052
216,2905,3024
217,2906,3025
218,2908,3027
219,2909,3028
220,2910,3029
221,2916,3079
222,2917,3080
223,2948,3102
224,2953,3183
225,2955,3185
226,2956,3112
227,2958,3110
228,2959,3115
229,2972,3109
230,2973,3114
231,2976,3181
232,2984,3124
233,2985,3125
234,2990,3130
235,3034,3206
236,3057,3190
237,3058,3191
238,3059,3164
239,3065,3197
240,3068,3201
241,3071,3202
242,3082,3223
243,3091,3231
244,3112,3252
245,3113,3249
246,3114,3258
247,3115,3253
248,3127,3306
249,3129,3308
250,3130,3309
251,3159,3339
252,3160,3343
253,3164,3349
254,3180,3268
255,3181,3269
256,3182,3264
257,3184,3266
258,3185,3267
259,3191,3351
260,3193,3352
261,3195,3353
262,3197,3355
263,3202,3358
264,3203,3359
265,3206,3363
266,3208,3365
267,3213,3294
268,3214,3295
269,3217,3298
270,3218,3299
271,3231,3380
272,3248,3387
273,3249,3414
274,3264,3437
275,3269,3442
276,3282,3407
277,3283,3408
278,3284,3409
279,3286,3416
280,3287,3417
281,3288,3418
282,3289,3419
283,3290,3420
284,3291,3421
285,3292,3422
286,3294,3425
287,3295,3426
288,3296,3427
289,3297,3428
290,3298,3429
291,3299,3430
